	Sentence
1091	Our only hope is You, Lord
1092	Our only hope
1093	Our only hope is You, Lord
1094	Thes we had burned You have restored
1095	You gave us hope when there was none before
1096	You paid the debt that we could not afford
1097	And cast away our guilt forevermore
1098	So, when our days are through
1099	Our hope will rest in You
1100	For we can trust
1101	Your promises are true
1102	Rock of Ages, Cleft for Me
1103	Rock of Ages, cleft for me,
1104	Let me hide myself in Thee;
1105	Let the water and the blood,
1106	From Thy wounded side which flowed,
1107	Be of sin the double cure;
1108	Save from wrath and make me pure.
1109	While I draw this fleeting breath,
1110	When mine eyes shall close in death,
1111	When I soar to worlds unknown,
1112	See Thee on Thy judgment throne,
1113	Rock of Ages, cleft for me,
1114	Let me hide myself in Thee.
1115	I Will Glory In My Redeemer
1116	I will glory in my Redeemer
1117	Whose priceless blood has ransomed me
1118	Mine was the sin that drove the bitter nails
1119	And hung Him on that judgment tree
1120	I will glory in my Redeemer
1121	Who crushed the power of sin and death
1122	My only Savior before the holy Judge
1123	The Lamb who is my righteousness
1124	The Lamb who is my righteousness
1125	I will glory in my Redeemer
1126	My life He bought, my love He owns
1127	I have no longings for another
1128	I'm satisfied in Him alone
1129	I will glory in my Redeemer
1130	His faithfulness my standing place
1131	Though foes are mighty and rush upon me
1132	My feet are firm, held by His grace
1133	My feet are firm, held by His grace
1134	I will glory in my Redeemer
1135	Who carries me on eagles' wings
1136	He crowns my life with lovingkindness
1137	His triumph song I'll ever sing
1138	I will glory in my Redeemer
1139	Who waits for me at gates of gold
1140	And when He calls me, it will be paradise
1141	His face forever to behold
1142	I will glory in my Redeemer
1143	Who waits for me at gates of gold
1144	And when He calls me, it will be paradise
1145	His face forever to behold
1146	His face forever to behold
1147	His face forever to behold
1148	The Look
1149	I saw one hanging on a tree
1150	In agony and blood
1151	Who fixed His loving eyes on me
1152	As near His cross I stood
1153	And never till my dying breath
1154	Will I forget that look
1155	It seemed to charge me with His death
1156	Though not a word He spoke
1157	My conscience felt and owned the guilt
1158	And plunged me in despair
1159	I saw my sins His blood had spilt
1160	And helped to nail Him there
1161	But with a second look He said
1162	"I freely all forgive
This blood is for your ransom paid
I died that you might live"
1163	Forever etched upon my mind
1164	Is the look of Him who died
1165	The Lamb I crucified
1166	And now my life will sing the praise
1167	Of pure atoning grace
1168	That looked on me and gladly took my place
1169	Thus while His death my sin displays
1170	For all the world to view
1171	Such is the mystery of grace
1172	It seals my pardon too
1173	With pleasing grief and mournful joy
1174	My spirit now is filled
1175	That I should such a life destroy
1176	Yet live by Him I killed
1177	Forever etched upon my mind
1178	Is the look of Him who died
1179	The Lamb I crucified
1180	And now my life will sing the praise
1181	Of pure atoning grace
1182	That looked on me and gladly took my place
1183	Forever etched upon my mind
1184	Is the look of Him who died
1185	The Lamb I crucified
1186	And now my life will sing the praise
1187	Of pure atoning grace
1188	That looked on me and gladly took my place
1189	Like a River Glorious
1190	Like a river glorious is God's perfect peace
1191	Over all victorious in its bright increase
1192	Perfect, yet it floweth fuller every day
1193	Perfect, yet it groweth deeper all the way
1194	Stayed upon Jehovah, hearts are fully blest
1195	Finding as He promised
1196	Perfect peace and rest
1197	Hidden in the hollow of His blessed hand
1198	Never foe can follow, never traitor stand
1199	Not a surge of worry, not a shade of care
1200	Not a blast of hurry touch the spirit there
1201	Every joy or trial falleth from above
1202	Traced upon our dial by the Sun of Love
1203	We may trust Him fully all for us to do
1204	They who trust Him wholly find Him wholly true
1205	Before the Throne
1206	Before the throne of God above
1207	I have a strong and perfect plea
1208	A great High Priest whose name is love
1209	Who ever lives and pleads for me
1210	My name is graven on His hands
1211	My name is written on His heart
1212	I know that while in heav'n He stands
1213	No tongue can bid me thence depart
1214	No tongue can bid me thence depart
1215	When Satan tempts me to despair
1216	And tells me of the guilt within
1217	Upward I look and see Him there
1218	Who made an end of all my sin
1219	Because the sinless Savior died
1220	My sinful soul is counted free
1221	For God the Just is satisfied
1222	To look on Him and pardon me
1223	To look on Him and pardon me
1224	Behold Him there, the risen Lamb
1225	My perfect, spotless Righteousness
1226	The great unchangeable I AM
1227	The King of glory and of grace
1228	One with Himself, I cannot die
1229	My soul is purchased by His blood
1230	My life is hid with Christ on high
1231	With Christ my Savior and my God
1232	With Christ my Savior and my God
1233	The Glories of Calvary
1234	Lord, You're calling me to come
1235	And behold the wondrous cross
1236	To explore the depths of grace
1237	That came to me at such a cost
1238	Where Your boundless love
1239	Conquered my boundless sin
1240	And mercy's arms were opened wide
1241	My heart is filled with a thousand songs
1242	Proclaiming the glories of Calvary
1243	With every breath, Lord how I long
1244	To sing of Jesus who died for me
1245	Lord, take me deeper
1246	Into the glories of Calvary
1247	Sinners find eternal joy
1248	In the triumph of Your wounds
1249	By our Savior's crimson flow
1250	Holy wrath has been removed
1251	And Your saints below
1252	Join with your saints above
1253	Rejoicing in the Risen Lamb
1254	My heart is filled with a thousand songs
1255	Proclaiming the glories of Calvary
1256	With every breath, Lord how I long
1257	To sing of Jesus who died for me
1258	Lord, take me deeper
1259	Into the glories of Calvary
1260	Wonderful Savior
1261	How can we not sing out to the One who saved us
1262	And covered us with Your blood
1263	Casting all our sin into Your sea of mercy
1264	Crowning us with Your love?
1265	Wonderful Savior, beautiful Jesus
1266	Bending down to lift us up
1267	Out of our darkness, into Your brightness
1268	Calling us Your own
1269	Wonderful Savior, beautiful Jesus
1270	We will always love You
1271	Wonderful Savior, beautiful Jesus
1272	How can we not sing out to the One who changed us
1273	And gave us eternal hope
1274	Capturing our hearts, flooding us with gladness
1275	That someday we'll see Your face?
1276	Wonderful Savior, beautiful Jesus
1277	Bending down to lift us up
1278	Out of our darkness, into Your brightness
1279	Calling us Your own
1280	Wonderful Savior, beautiful Jesus
1281	We will always love You
1282	Wonderful Savior, beautiful Jesus
1283	You are beautiful
1284	Wonderful Savior, beautiful Jesus
1285	Bending down to lift us up
1286	Out of our darkness, into Your brightness
1287	Calling us Your own
1288	Wonderful Savior, beautiful Jesus
1289	We will always love You
1290	Wonderful Savior, beautiful Jesus
1291	Beautiful Jesus
1292	Wonderful, wonderful...
1293	Beautiful, beautiful...
1294	The Glory of the Cross
1295	Oh, to see the dawn
1296	Of the darkest day:
1297	Christ on the road to Calvary.
1298	Tried by sinful men,
1299	Torn and beaten, then
1300	Nailed to a cross of wood.
1301	This, the pow'r of the cross:
1302	Christ became sin for us;
1303	Took the blame, bore the wrath—
1304	We stand forgiven at the cross.
1305	Oh, to see the pain
1306	Written on Your face,
1307	Bearing the awesome weight of sin.
1308	Ev'ry bitter thought,
1309	Ev'ry evil deed
1310	Crowning Your bloodstained brow.
1311	This, the pow'r of the cross:
1312	Christ became sin for us;
1313	Took the blame, bore the wrath—
1314	We stand forgiven at the cross.
1315	Now the daylight flees;
1316	Now the ground beneath
1317	Quakes as its Maker bows His head.
1318	Curtain torn in two,
1319	Dead are raised to life;
1320	Finished! the vict'ry cry.
1321	This, the pow'r of the cross:
1322	Christ became sin for us;
1323	Took the blame, bore the wrath—
1324	We stand forgiven at the cross.
1325	Oh, to see my name
1326	Written in the wounds,
1327	For through Your suffering I am free.
1328	Death is crushed to death;
1329	Life is mine to live,
1330	Won through Your selfless love.
1331	This, the pow'r of the cross:
1332	Son of God—slain for us.
1333	What a love! What a cost!
1334	We stand forgiven at the cross.
1335	This, the pow'r of the cross:
