	Sentence
936	Here Is Love
937	Here is love wide as the ocean
938	Loving kindness as a flood
939	When the Prince of Life, our ransom
940	Shed for us His precious blood
941	Who His love will not remember?
942	Who can cease to sing His praise?
943	He can never be forgotten
944	Throughout Heaven's eternal days
945	On the mount of crucifixion
946	Fountains opened deep and wide
947	Through the floodgates of God's mercy
948	Flowed a vast and gracious tide
949	Grace and love like mighty rivers
950	Poured incessant from above
951	And Heaven's peace and perfect justice
952	Kissed a guilty world in love
953	Oh how marvelous, oh how glorious
954	Is my Savior's love for me!
955	Oh how marvelous, oh how glorious
956	Is my Savior's love for me!
957	Of Your fullness You are pouring
958	Your great love on me anew
959	Without measure, full and boundless
960	Drawing out my heart to You
961	You alone will be my glory
962	Nothing in the world I see
963	You have cleansed and sanctified me
964	You Yourself have set me free
965	My Glorious Hope
966	Though waves of troubles come
967	And pour in like a flood
968	My soul will not despair
969	Within Your sovereign arms
970	No valley is too dark
971	To keep me from Your care
972	Your presence and Your promises
973	Are joy and life to me
974	Jesus, You're my glorious hope
975	Ever faithful to Your own
976	You have filled my nights
977	With Your sweet song of grace
978	Jesus You're my glorious hope
979	My glorious hope
980	When condemnations rise
981	When failures fill my eyes
982	Remind me once again
983	That my sufficiency
984	Is found upon the tree
985	That bought my righteousness
986	The depth of Your unchanging love
987	Displayed on Calvary
988	Jesus, You're my glorious hope
989	Ever faithful to Your own
990	You have filled my nights
991	With Your sweet song of grace
992	Jesus You're my glorious hope
993	And Jesus, every trial only proves
994	You are worthy of all the trust I place in You
995	My glorious hope
996	You're my glorious hope
997	You're my glorious hope
998	Jesus, You're my glorious hope
999	Ever faithful to Your own
1000	You have filled my nights
1001	With Your sweet song of grace
1002	Jesus You're my glorious hope
1003	My glorious hope
1004	End
1005	Every Tongue
1006	Oh gather around the throne of grace
1007	And sing His victory song
1008	Our King rode forth to bloody war
1009	And now He has come home
1010	He crushed the mighty dragon
1011	He broke his cruel reign
1012	He broke the shackles of our sins
1013	And freed us from our chains
1014	Let every tongue and every tribe
1015	Sing praises, praises
1016	Let all creation magnify Your glorious name
1017	Forever is not long enough
1018	To sing of all You have done
1019	Be praised by every tribe and every tongue
1020	Oh look around and see the saints
1021	All trophies of His grace
1022	And to the Victor go the spoils
1023	Our hearts, our lives, our praise
1024	Take pleasure when You look on
1025	The fruit of all Your pain
1026	Enjoy Your glory formed in us
1027	You suffered not in vain
1028	Let every tongue and every tribe
1029	Sing praises, praises
